# u v peso
1 2 6.5
1 3 15
1 2 6.5
1 3 15
1 2 6.5
1 2 6.5
1 3 15
1 3 15
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 3 15
1 3 15
1 3 15
1 3 15
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 2 6.5
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
1 3 15
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
